exchange,write count,write average,read response time,write response time,write total count,improvement
tradition,60769462,28.145438,24572601.93,40418970.84,1710383125,
0.1,79394392,28.145246,25306029.07,41210945.54,2234574694,1.306476111
0.3,85127794,28.147237,27416561.86,43123155.56,2396112193,1.400921325
0.5,87666603,28.14404,415954294.8,210807633.5,2467292381,1.442537842
0.7,87734754,28.147993,551658305.1,293196161.3,2469557241,1.443862024
0.9,87735178,28.147923,552849643.8,296988628.4,2469563035,1.443865412
,,,,,,
hm0,,,,,,
tradition,185801103,16.668098,79479877.97,45721457.13,3096950993,
0.1,248545095,16.663418,79698406.17,45709696.16,4141610810,1.337318808
0.3,269875360,16.676507,80536208.77,46123955.21,4500578330,1.453228785
0.5,287084742,16.665361,81937001.85,46509412.04,4784370863,1.544864892
0.7,293592684,16.673904,84180940.98,47397130.26,4895336228,1.580695413
0.9,294978674,16.666891,91878862.6,49022536.03,4916377407,1.587489572
,,,,,,
vps107_16GB,,,,,,
tradition,64514719,20.772381,5613487.269,60461512.03,1340124323,
0.1,86231920,20.771993,5693432.095,61024833.19,1791208839,1.336599006
0.3,93243001,20.802096,6732759.48,67154309.9,1939649858,1.44736561
0.5,94935778,20.799568,9933080.906,73424292.19,1974623170,1.473462675
0.7,94936588,20.799744,9967186.41,77165350.19,1974656727,1.473487715
0.9,94936921,20.799913,9959035.359,84119158.58,1974679697,1.473504856
,,,,,,
proj0_16GB,,,,,,
tradition,28206667,80.577036,2442893176,15536947737,2272809622,
0.1,38324168,80.058781,2381267411,15223170654,3068186173,1.349953002
0.3,41973303,80.135677,2432307933,15477621819,3363559052,1.47991236
0.5,44600840,79.557,2478851698,16118796948,3548309028,1.561199404
0.7,45123511,79.866823,2961758690,17593117229,3603871466,1.585645991
0.9,45124135,79.867321,2962195204,17603741939,3603943775,1.585677806
